price,rsi,vol,DateTime
1079.90,75.7795,381,29/10/2018 16:45:00
1080.00,76.2241,349,29/10/2018 16:46:00
1080.50,78.3628,568,29/10/2018 16:47:00
1081.00,80.2737,1060,29/10/2018 16:48:00
1081.60,82.2944,1345,29/10/2018 16:49:00
1081.00,74.1178,902,29/10/2018 16:50:00
1081.00,74.1178,371,29/10/2018 16:51:00
1081.00,74.1178,471,29/10/2018 16:52:00
1080.30,64.7442,963,29/10/2018 16:53:00
1080.80,67.8699,1037,29/10/2018 16:54:00
